+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
|           activity_id            | results |   GLM    | GLM/result | batches | GLM/batch | > 0.00097 |        status        |
+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
| 382c293666e142039ed915ca97e5951d |  50.67  | 0.038403 |  0.000947  |   205   |  0.000234 |           |          ok          |
| d5e3712b99e14ce39d0084232181a084 |  43.51  | 0.047708 |  0.001097  |   176   |  0.000271 |     X     | Dead [too expensive] |
| 13015a706c39483284a210c294e40425 |  44.25  | 0.048602 |  0.001098  |   179   |  0.000272 |     X     | Dead [too expensive] |
| d5d4f5074cc2410e9b7a10df8386c71b |  45.48  | 0.049203 |  0.001082  |   184   |  0.000267 |     X     | Dead [too expensive] |
| 7e4b4eb75bcd4d569a25cc6570f2794e |  47.71  | 0.048351 |  0.001013  |   193   |  0.000251 |     X     | Dead [too expensive] |
| 43c4708d55644c30aa3e895bbe2d3511 |  51.66  | 0.039454 |  0.000961  |   209   |  0.000238 |           |          ok          |
| d1d8748aedf34544a3b72e8a2f7cc825 |  50.67  | 0.039405 |  0.000978  |   205   |  0.000242 |     X     |          ok          |
| 8d6043ea2ab94d3795275acf42d85d21 |  46.97  | 0.047503 |  0.001011  |   190   |  0.00025  |     X     | Dead [too expensive] |
| 9c8751230ace44f39446dd3f2fd5f123 |  51.17  | 0.039204 |  0.000967  |   207   |  0.000239 |           |          ok          |
| 693832a4a64344ae828ce1f965fb5a6d |  47.96  | 0.04857  |  0.001013  |   194   |  0.00025  |     X     | Dead [too expensive] |
| d8eb1682aa66401e9b8a42efa306b298 |   1.73  |    0     |     0      |    7    |     0     |           |         new          |
| 9fa35caa179d4fb2ab656b13860d5265 |   1.48  |    0     |     0      |    6    |     0     |           |         new          |
| 89220a664d5d4072ab8e96d3710ded50 |   0.49  |    0     |     0      |    2    |     0     |           |         new          |
| a2bc351bfc674afda286bd1db5e82988 |   0.25  |    0     |     0      |    1    |     0     |           |         new          |
|              TOTAL               |   484   | 0.446404 |  0.001019  |   1958  |  0.000252 |     X     |                      |
+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
|           activity_id            | results |   GLM    | GLM/result | batches | GLM/batch | > 0.00097 |        status        |
+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
| 382c293666e142039ed915ca97e5951d |  156.11 | 0.127703 |   0.0009   |   629   |  0.000223 |           |          ok          |
| d5e3712b99e14ce39d0084232181a084 |  43.68  | 0.047708 |  0.001092  |   176   |  0.000271 |     X     | Dead [too expensive] |
| 13015a706c39483284a210c294e40425 |  44.42  | 0.048602 |  0.001094  |   179   |  0.000272 |     X     | Dead [too expensive] |
| d5d4f5074cc2410e9b7a10df8386c71b |  45.67  | 0.049203 |  0.001077  |   184   |  0.000267 |     X     | Dead [too expensive] |
| 7e4b4eb75bcd4d569a25cc6570f2794e |   47.9  | 0.048351 |  0.001009  |   193   |  0.000251 |     X     | Dead [too expensive] |
| 43c4708d55644c30aa3e895bbe2d3511 |  155.11 | 0.130554 |  0.000926  |   625   |  0.00023  |           |          ok          |
| d1d8748aedf34544a3b72e8a2f7cc825 |  154.62 | 0.130705 |  0.00093   |   623   |  0.000231 |           |          ok          |
| 8d6043ea2ab94d3795275acf42d85d21 |  47.15  | 0.047503 |  0.001007  |   190   |  0.00025  |     X     | Dead [too expensive] |
| 9c8751230ace44f39446dd3f2fd5f123 |  155.36 | 0.130804 |  0.000926  |   626   |  0.00023  |           |          ok          |
| 693832a4a64344ae828ce1f965fb5a6d |  48.15  | 0.04857  |  0.001009  |   194   |  0.00025  |     X     | Dead [too expensive] |
| d8eb1682aa66401e9b8a42efa306b298 |  100.51 | 0.097605 |  0.001046  |   405   |  0.00026  |     X     |          ok          |
| 9fa35caa179d4fb2ab656b13860d5265 |  56.09  | 0.060803 |  0.001084  |   226   |  0.000269 |     X     | Dead [too expensive] |
| 89220a664d5d4072ab8e96d3710ded50 |  100.27 | 0.093002 |  0.000976  |   404   |  0.000242 |     X     |          ok          |
| a2bc351bfc674afda286bd1db5e82988 |  100.51 | 0.09342  |  0.000965  |   405   |  0.00024  |           |          ok          |
| 94a3b589ef1b4bae9c327fdf08934fe2 |  91.58  | 0.080655 |  0.000976  |   369   |  0.000242 |     X     |          ok          |
| f574aa854a89445e8bbea8cbaf96934e |  90.83  | 0.080655 |  0.000982  |   366   |  0.000244 |     X     |          ok          |
| 1810c25be2224e56abd3d24be43327c0 |  29.04  | 0.026552 |   0.001    |   117   |  0.000248 |     X     |         new          |
|              TOTAL               |   1467  | 1.342395 |  0.000977  |   5911  |  0.000242 |     X     |                      |
+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
|           activity_id            | results |   GLM    | GLM/result | batches | GLM/batch | > 0.00097 |        status        |
+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
| 382c293666e142039ed915ca97e5951d |  177.36 | 0.159103 |  0.000897  |   714   |  0.000223 |           |          ok          |
| d5e3712b99e14ce39d0084232181a084 |  43.72  | 0.047708 |  0.001091  |   176   |  0.000271 |     X     | Dead [too expensive] |
| 13015a706c39483284a210c294e40425 |  44.46  | 0.048602 |  0.001093  |   179   |  0.000272 |     X     | Dead [too expensive] |
| d5d4f5074cc2410e9b7a10df8386c71b |  45.71  | 0.049203 |  0.001077  |   184   |  0.000267 |     X     | Dead [too expensive] |
| 7e4b4eb75bcd4d569a25cc6570f2794e |  47.94  | 0.048351 |  0.001009  |   193   |  0.000251 |     X     | Dead [too expensive] |
| 43c4708d55644c30aa3e895bbe2d3511 |  175.62 | 0.162604 |  0.000926  |   707   |  0.00023  |           |          ok          |
| d1d8748aedf34544a3b72e8a2f7cc825 |  175.62 | 0.162804 |  0.000927  |   707   |  0.00023  |           |          ok          |
| 8d6043ea2ab94d3795275acf42d85d21 |   47.2  | 0.047503 |  0.001006  |   190   |  0.00025  |     X     | Dead [too expensive] |
| 9c8751230ace44f39446dd3f2fd5f123 |  176.12 | 0.162954 |  0.000925  |   709   |  0.00023  |           |          ok          |
| 693832a4a64344ae828ce1f965fb5a6d |  48.19  | 0.04857  |  0.001008  |   194   |  0.00025  |     X     | Dead [too expensive] |
| d8eb1682aa66401e9b8a42efa306b298 |  120.73 | 0.125605 |  0.00104   |   486   |  0.000258 |     X     |          ok          |
| 9fa35caa179d4fb2ab656b13860d5265 |  56.14  | 0.060803 |  0.001083  |   226   |  0.000269 |     X     | Dead [too expensive] |
| 89220a664d5d4072ab8e96d3710ded50 |  121.22 | 0.117202 |  0.000967  |   488   |  0.00024  |           |          ok          |
| a2bc351bfc674afda286bd1db5e82988 |  121.22 | 0.11652  |  0.000961  |   488   |  0.000239 |           |          ok          |
| 94a3b589ef1b4bae9c327fdf08934fe2 |  111.78 | 0.108554 |  0.000971  |   450   |  0.000241 |     X     |          ok          |
| f574aa854a89445e8bbea8cbaf96934e |  111.78 | 0.108705 |  0.000972  |   450   |  0.000242 |     X     |          ok          |
| 1810c25be2224e56abd3d24be43327c0 |  50.18  | 0.047952 |  0.000956  |   202   |  0.000237 |           |          ok          |
|              TOTAL               |   1675  | 1.622745 |  0.000969  |   6743  |  0.000241 |           |                      |
+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
+----+----------------------------------+---------+----------+------------+---------+-----------+------------+-----------------------+
| ix |           activity_id            | results |   GLM    | GLM/result | batches | GLM/batch | > 0.000020 |         status        |
+----+----------------------------------+---------+----------+------------+---------+-----------+------------+-----------------------+
| 1  | 80e049154b124bedb5830ec9e9a33da1 |  33.66  | 0.001435 |  0.000049  |   162   |  0.000010 |     X      |           ok          |
| 2  | 6425cbadc1a6488f86a2b551fd24a623 |  62.96  |    0     |     0      |   303   |     0     |            |           ok          |
| 3  | ceb70f737f5c4e878c98af23d801e6aa |  33.66  | 0.001104 |  0.000038  |   162   |  0.000008 |     X      |           ok          |
| 4  | ae328d60a9d24c95b29244e4079e973f |   0.21  | 0.000102 |  0.000493  |    1    |  0.000102 |     X      | Dead [unknown reason] |
| 5  | 69759d0c284442ca8a63180dde02b9c2 |   0.62  | 0.000002 |  0.000003  |    3    |  0.000001 |            | Dead [unknown reason] |
| 6  | 994c78cf16fa44fabc8d41e0739c2399 |   0.21  | 0.000107 |  0.000513  |    1    |  0.000107 |     X      | Dead [unknown reason] |
| 7  | 8ee252011ddb4d89ac45e7dfb71eafec |   0.21  | 0.000004 |  0.000017  |    1    |  0.000004 |            | Dead [unknown reason] |
| 8  | 362677025a8447a49aaef719a6377c2b |   0.62  | 0.000030 |  0.000048  |    3    |  0.000010 |     X      |   Dead [weak worker]  |
| 9  | 212f15130fbe425a8bf806a6089af325 |  35.53  | 0.002945 |  0.000083  |   171   |  0.000017 |     X      |           ok          |
| 10 | 919856648fc94e3697f160bdf654ed4a |   26.6  | 0.002704 |  0.000102  |   128   |  0.000021 |     X      |  Dead [too expensive] |
| 11 | 1d0cc0fbf5254f5b98638847711a43b9 |   0.21  | 0.000008 |  0.000040  |    1    |  0.000008 |     X      | Dead [unknown reason] |
| 12 | ccba4433070c436885dffe0105317df0 |  25.14  | 0.000131 |  0.000006  |   121   |  0.000001 |            |           ok          |
| 13 | b075833b29a24d3388b3838e74bb9b3c |   0.21  | 0.000010 |  0.000048  |    1    |  0.000010 |     X      | Dead [unknown reason] |
| 14 | cd33d330b3df43b28bdf4ff9bda3595c |  44.47  | 0.003939 |  0.000089  |   214   |  0.000018 |     X      |  Dead [too expensive] |
| 15 | 835c8dae5cc14bceb8ab3e26b91f2d14 |   0.62  | 0.000554 |  0.000889  |    3    |  0.000185 |     X      | Dead [unknown reason] |
| 16 | b8e4ac5691e143b78fb0ec6e5e9f76c3 |   0.62  | 0.000554 |  0.000889  |    3    |  0.000185 |     X      | Dead [unknown reason] |
| 17 | 5ddfd698b30c415d95b2472bf857ec69 |  100.78 | 0.001474 |  0.000017  |   485   |  0.000004 |            |           ok          |
| 18 | 8ee9a9d433ec495a802e263798c62343 |   0.21  | 0.000241 |  0.001158  |    1    |  0.000241 |     X      | Dead [unknown reason] |
| 19 | a281e6d02c7645e4a594ae691f1d821e |  21.82  | 0.019443 |  0.000891  |   105   |  0.000185 |     X      |  Dead [too expensive] |
| 20 | d0d8ec070fd84f4c830407e432cb92e4 |   0.21  | 0.000271 |  0.001303  |    1    |  0.000271 |     X      | Dead [unknown reason] |
| 21 | f3fc356e6aea4cc5ad1bfe395f67a561 |   9.77  | 0.010661 |  0.001092  |    47   |  0.000227 |     X      |  Dead [too expensive] |
| 22 | b3621cd0cc794c0291dddd829ec2cb66 |  17.04  | 0.019238 |  0.001129  |    82   |  0.000235 |     X      |  Dead [too expensive] |
| 23 | c7bfa1448af04c03a83b8380cd6edb0f |  35.95  | 0.000642 |  0.000021  |   173   |  0.000004 |     X      |           ok          |
| 24 | 56bf98b3671c4350abe090acacd84b2e |  31.17  | 0.001797 |  0.000069  |   150   |  0.000014 |     X      |           ok          |
| 25 | 313c627991f444828e4e3a53cabbca1f |   0.21  | 0.000173 |  0.000831  |    1    |  0.000173 |     X      | Dead [unknown reason] |
| 26 | 775472f2aaeb4d9da9dd7be99ef45fe9 |   37.4  | 0.000268 |  0.000008  |   180   |  0.000002 |            |           ok          |
| 27 | 7a99edd347de4f18aa3af577c96579a6 |  20.57  | 0.021259 |  0.001033  |    99   |  0.000215 |     X      |  Dead [too expensive] |
| 28 | 93e6ce5f7c224259b202fdd9a583b8ff |  38.24  | 0.002106 |  0.000064  |   184   |  0.000013 |     X      |           ok          |
| 29 | 1e9256d1c6244a9bb6daf7af09700341 |   7.48  | 0.000078 |  0.000010  |    36   |  0.000002 |            |           ok          |
| 30 | 0db72cca804e4bb397ce45e0b9ff2578 |   7.27  | 0.000111 |  0.000015  |    35   |  0.000003 |            |           ok          |
| 31 | ab3de24df5ca419b8d7a056291ab8854 |   0.62  | 0.000007 |  0.000011  |    3    |  0.000002 |            | Dead [unknown reason] |
| 32 | cc859e7573e345599294d66479ccabcc |  32.42  | 0.000096 |  0.000003  |   156   |  0.000001 |            |           ok          |
| 33 | a2aed4896aa64d259db8cdf3e9a3e061 |   0.21  | 0.000003 |  0.000015  |    1    |  0.000003 |            | Dead [unknown reason] |
| 34 | 57841cc5ed5b4237af3598f16098f0d8 |  39.07  | 0.000076 |  0.000002  |   188   |     0     |            |           ok          |
| 35 | 792323682cfd4ea480201ab2a074729c |  20.78  | 0.000137 |  0.000008  |   100   |  0.000002 |            |           ok          |
| 36 | 492ff7c7019e4889a957ff593d89a6f2 |   0.42  | 0.000026 |  0.000064  |    2    |  0.000013 |     X      | Dead [unknown reason] |
| 37 | 60298ce673e1427fa8776e25657e6908 |  31.38  | 0.000078 |  0.000004  |   151   |  0.000001 |            |          new          |
| 38 | e523fa49578c4cfc87af4177395ddae8 |   0.42  | 0.000001 |  0.000003  |    2    |  0.000001 |            | Dead [unknown reason] |
| 39 | 1ee13fd9257b46758e374a20c3a8910e |   0.42  | 0.000001 |  0.000003  |    2    |  0.000001 |            | Dead [unknown reason] |
| 40 | e02d970753d4409ea2de48d1f663149b |   0.42  | 0.000001 |  0.000003  |    2    |  0.000001 |            | Dead [unknown reason] |
| 41 | cc3a816230044e2b8c205ab94cf0f4d5 |   0.21  | 0.000001 |  0.000002  |    1    |  0.000001 |            | Dead [unknown reason] |
| 42 | 3c1693c99b0847988acb980b3c2a0ea3 |  13.09  | 0.000169 |  0.000013  |    63   |  0.000003 |            |          new          |
| 43 | a2edd972524a4063805eea256885a2ad |   0.42  | 0.000001 |  0.000003  |    2    |  0.000001 |            | Dead [unknown reason] |
| 44 | 9f747ced8119414a9fbb6b6266fcecef |  15.79  | 0.000083 |  0.000006  |    76   |  0.000001 |            |          new          |
|    |              TOTAL               |   818   | 0.094400 |  0.000116  |   3947  |  0.000024 |     X      |                       |
+----+----------------------------------+---------+----------+------------+---------+-----------+------------+-----------------------+

+----+----------------------------------+---------+----------+------------+---------+-----------+------------+-----------------------+
| ix |           activity_id            | results |   GLM    | GLM/result | batches | GLM/batch | > 0.000020 |         status        |
+----+----------------------------------+---------+----------+------------+---------+-----------+------------+-----------------------+
| 1  | efc233b063994cdf8d2360ffc8808739 |  23.41  | 0.001884 |  0.000080  |    95   |  0.000020 |     X      |  Dead [too expensive] |
| 2  | 17ebfa9cacdd47ac97a689f180f0d6dc |   0.25  | 0.000712 |  0.002890  |    1    |  0.000712 |     X      | Dead [unknown reason] |
| 3  | 745301a1faad4663a08dd41b3c91a4dd |   34.5  | 0.001900 |  0.000055  |   140   |  0.000014 |     X      |  Dead [too expensive] |
| 4  | f056f93a9056482d9c2d95961beab9e9 |   0.25  | 0.000667 |  0.002705  |    1    |  0.000667 |     X      | Dead [unknown reason] |
| 5  | 6faa1928612341339ad41fb733224871 |   24.4  | 0.004136 |  0.000170  |    99   |  0.000042 |     X      |  Dead [too expensive] |
